word,char_count,value
abettors,8,100
abeyance,8,56
abeyances,9,75
abeyancies,10,84
abeyancy,8,76
abeyant,7,68
abfarad,7,33
abfarads,8,52
abhenries,9,81
abhenry,7,73
abhenrys,8,92
abhor,5,44
abhorred,8,71
abhorrence,10,89
abhorrences,11,108
abhorrent,9,101
abhorrently,11,138
abhorrer,8,85
abhorrers,9,104
abhorring,9,92
abhors,6,63
abidance,8,39
abidances,9,58
abide,5,21
abided,6,25
abider,6,39
abiders,7,58
abides,6,40
abiding,7,46
abidingly,9,83
abigail,7,41
abigails,8,60
abilities,9,86
ability,7,78
abiogeneses,11,101
abiogenesis,11,105
abiogenic,9,65
abiogenically,13,115
abiogenist,10,101
abiogenists,11,120
abiological,11,86
abioses,7,70
abiosis,7,74
abiotic,7,59
abiotically,11,109
abject,6,41
abjection,9,79
abjections,10,98
abjectly,8,78
abjectness,10,98
abjectnesses,12,122
abjuration,10,111
abjurations,11,130
abjure,6,57
abjured,7,61
abjurer,7,75
abjurers,8,94
abjures,7,76
abjuring,8,82
ablate,6,41
ablated,7,45
ablates,7,60
ablating,8,66
ablation,8,74
ablations,9,93
ablative,8,72
ablatively,10,109
ablatives,9,91
ablaut,6,57
ablauts,7,76
ablaze,6,47
able,4,20
ablegate,8,53
ablegates,9,72
abler,5,38
ables,5,39
ablest,6,59
ablings,7,64
ablins,6,57
abloom,6,58
abluent,7,75
abluents,8,94
ablush,6,63
abluted,7,65
ablution,8,94
ablutionary,11,138
ablutions,9,113
ably,4,40
abmho,5,39
abmhos,6,58
abnegate,8,55
abnegated,9,59
abnegates,9,74
abnegating,10,80
abnegation,10,88
abnegations,11,107
abnegator,9,83
abnegators,10,102
abnormal,8,76
abnormalities,13,138
abnormality,11,130
abnormally,10,113
abnormals,9,95
abo,3,18
aboard,6,41
abode,5,27
aboded,6,31
abodes,6,46
aboding,7,52
abohm,5,39
abohms,6,58
aboideau,8,58
aboideaus,9,77
aboideaux,9,82
aboil,5,39
aboiteau,8,74
aboiteaus,9,93
aboiteaux,9,98
abolish,7,66
abolishable,11,86
abolished,9,75
abolisher,9,89
abolishers,10,108
abolishes,9,90
abolishing,10,96
abolishment,11,118
abolishments,12,137
abolition,9,97
abolitionary,12,141
abolitionism,12,138
abolitionisms,13,157
abolitionist,12,145
abolitionists,13,164
abolitions,10,116
abolla,6,43
abollae,7,48
aboma,5,32
abomas,6,51
abomasa,7,52
abomasal,8,64
abomasi,7,60
abomasum,8,85
abomasus,8,91
abominable,10,74
abominably,10,94
abominate,9,80
abominated,10,84
abominates,10,99
abominating,11,105
abomination,11,113
abominations,12,132
abominator,10,108
abominators,11,127
aboon,5,47
aboral,6,49
aborally,8,86
aboriginal,10,88
aboriginally,12,125
aboriginals,11,107
aborigine,9,80
aborigines,10,99
aborning,8,80
abort,5,56
aborted,7,65
aborter,7,79
aborters,8,98
abortifacient,13,123
abortifacients,14,142
aborting,8,86
abortion,8,94
abortionist,11,142
abortionists,12,161
abortions,9,113
abortive,8,92
abortively,10,129
abortiveness,12,149
abortivenesses,14,173
aborts,6,75
abos,4,37
abought,7,74
aboulia,7,61
aboulias,8,80
aboulic,7,63
abound,6,57
abounded,8,66
abounding,9,87
abounds,7,76
about,5,59
above,5,45
aboveboard,10,85
aboveground,11,124
aboves,6,64
abracadabra,11,52
abracadabras,12,71
abrachia,8,43
abrachias,9,62
abradable,9,46
abradant,8,61
abradants,9,80
abrade,6,31
abraded,7,35
abrader,7,49
abraders,8,68
abrades,7,50
abrading,8,56
abrasion,8,79
abrasions,9,98
abrasive,8,77
abrasively,10,114
abrasiveness,12,134
abrasivenesses,14,158
abrasives,9,96
abreact,7,50
abreacted,9,59
abreacting,10,80
abreaction,10,88
abreactions,11,107
abreacts,8,69
abreast,7,66
abri,4,30
abridge,7,46
abridged,8,50
abridgement,11,98
abridgements,12,117
abridger,8,64
abridgers,9,83
abridges,8,65
abridging,9,71
abridgment,10,93
abridgments,11,112
abris,5,49
abroach,7,48
abroad,6,41
abrogate,8,69
abrogated,9,73
abrogates,9,88
abrogating,10,94
abrogation,10,102
abrogations,11,121
abrosia,7,65
abrosias,8,84
abrupt,6,78
abrupter,8,101
abruptest,9,122
abruption,9,116
abruptions,10,135
abruptly,8,115
abruptness,10,135
abruptnesses,12,159
abs,3,22
abscess,7,68
abscessed,9,77
abscesses,9,92
abscessing,10,98
abscise,7,58
abscised,8,62
abscises,8,77
abscisin,8,76
abscising,9,83
abscisins,9,95
abscissa,8,73
abscissae,9,78
abscissas,9,92
abscission,10,110
abscissions,11,129
abscond,7,58
absconded,9,67
absconder,9,81
absconders,10,100
absconding,10,88
absconds,8,77
abseil,6,48
abseiled,8,57
abseiling,9,78
abseils,7,67
absence,7,49
absences,8,68
absent,6,61
absented,8,70
absentee,8,71
absenteeism,11,112
absenteeisms,12,131
absentees,9,90
absenter,8,84
absenters,9,103
absenting,9,91
absently,8,98
absentminded,12,110
absentmindedly,14,147
absentmindedness,16,167
absentmindednesses,18,191
absents,7,80
absinth,7,73
absinthe,8,78
absinthes,9,97
absinths,8,92
absolute,8,95
absolutely,10,132
absoluteness,12,152
absolutenesses,14,176
absoluter,9,113
absolutes,9,114
absolutest,10,134
absolution,10,128
absolutions,11,147
absolutism,10,131
absolutisms,11,150
absolutist,10,138
absolutistic,12,150
absolutists,11,157
absolutive,10,126
absolutize,10,130
absolutized,11,134
absolutizes,11,149
absolutizing,12,155
absolve,7,76
absolved,8,80
absolver,8,94
absolvers,9,113
absolves,8,95
absolving,9,101
absonant,8,86
absorb,6,57
absorbabilities,15,143
absorbability,13,135
absorbable,10,77
absorbance,10,80
absorbances,11,99
absorbancies,12,108
absorbancy,10,100
absorbant,9,92
absorbants,10,111
absorbed,8,66
absorbencies,12,112
absorbency,10,104
absorbent,9,96
absorbents,10,115
absorber,8,80
absorbers,9,99
absorbing,9,87
absorbingly,11,124
absorbs,7,76
absorptance,11,114
absorptances,12,133
absorption,10,129
absorptions,11,148
absorptive,10,127
absorptivities,14,184
absorptivity,12,176
absquatulate,12,140
absquatulated,13,144
absquatulates,13,159
absquatulating,14,165
abstain,7,66
abstained,9,75
abstainer,9,89
abstainers,10,108
abstaining,10,96
abstains,8,85
abstemious,10,124
abstemiously,12,161
abstemiousness,14,181
abstemiousnesses,16,205
abstention,10,119
abstentions,11,138
abstentious,11,145
absterge,8,77
absterged,9,81
absterges,9,96
absterging,10,102
abstinence,10,92
abstinences,11,111
abstinent,9,104
abstinently,11,141
abstract,8,84
abstractable,12,104
abstracted,10,93
abstractedly,12,130
abstractedness,14,150
abstractednesses,16,174
abstracter,10,107
abstracters,11,126
abstractest,11,128
abstracting,11,114
abstraction,11,122
abstractional,13,135
abstractionism,14,163
abstractionisms,15,182
abstractionist,14,170
abstractionists,15,189
abstractions,12,141
abstractive,11,120
abstractly,10,121
abstractness,12,141
abstractnesses,14,165
abstractor,10,117
abstractors,11,136
abstracts,9,103
abstrict,8,92
abstricted,10,101
abstricting,11,122
abstricts,9,111
abstruse,8,105
abstrusely,10,142
abstruseness,12,162
abstrusenesses,14,186
abstruser,9,123
abstrusest,10,144
abstrusities,12,162
abstrusity,10,154
absurd,6,65
absurder,8,88
absurdest,9,109
absurdism,9,106
absurdisms,10,125
absurdist,9,113
absurdists,10,132
absurdities,11,127
absurdity,9,119
absurdly,8,102
absurdness,10,122
absurdnesses,12,146
absurds,7,84
abubble,7,45
abuilding,9,79
abulia,6,46
abulias,7,65
abulic,6,48
abundance,9,65
abundances,10,84
abundant,8,77
abundantly,10,114
abusable,8,63
abuse,5,48
abused,6,52
abuser,6,66
abusers,7,85
abuses,6,67
abusing,7,73
abusive,7,79
abusively,9,116
abusiveness,11,136
abusivenesses,13,160
abut,4,44
abutilon,8,94
abutilons,9,113
abutment,8,96
abutments,9,115
abuts,5,63
abuttal,7,77
abuttals,8,96
abutted,7,73
abutter,7,87
abutters,8,106
abutting,8,94
abuzz,5,76
abvolt,6,72
abvolts,7,91
abwatt,6,67
abwatts,7,86
aby,3,28
abye,4,33
abyes,5,52
abying,6,58
abys,4,47
abysm,5,60
abysmal,7,73
abysmally,9,110
abysms,6,79
abyss,5,66
abyssal,7,79
abysses,7,90
acacia,6,18
acacias,7,37
academe,7,32
academes,8,51
academia,8,37
academias,9,56
academic,8,39
academical,10,52
academically,12,89
academician,11,63
academicians,12,82
academicism,11,80
academicisms,12,99
academics,9,58
academies,9,60
academism,9,68
academisms,10,87
academy,7,52
acajou,6,51
acajous,7,70
acaleph,7,46
acalephae,9,52
acalephe,8,51
acalephes,9,70
acalephs,8,65
acanthi,7,56
acanthocephalan,15,122
acanthocephalans,16,141
acanthus,8,87
acanthuses,10,111
acapnia,7,45
acapnias,8,64
acari,5,32
acariases,9,76
acariasis,9,80
acaricidal,10,61
acaricide,9,53
acaricides,10,72
acarid,6,36
acaridan,8,51
acaridans,9,70
acarids,7,55
acarine,7,51
acarines,8,70
acaroid,7,51
acarpous,8,94
acarus,6,63
acatalectic,11,78
acatalectics,12,97
acaudal,7,43
acaudate,8,56
acaulescent,11,104
acauline,8,66
acaulose,8,77
acaulous,8,93
accede,6,21
acceded,7,25
acceder,7,39
acceders,8,58
accedes,7,40
acceding,8,46
accelerando,11,81
accelerandos,12,100
accelerant,10,82
accelerants,11,101
accelerate,10,73
accelerated,11,77
accelerates,11,92
accelerating,12,98
acceleratingly,14,135
acceleration,12,106
accelerations,13,125
accelerative,12,104
accelerator,11,101
accelerators,12,120
accelerometer,13,123
accelerometers,14,142
accent,6,46
accented,8,55
accenting,9,76
accentless,10,101
accentor,8,79
accentors,9,98
accents,7,65
accentual,9,80
accentually,11,117
accentuate,10,93
accentuated,11,97
accentuates,11,112
accentuating,12,118
accentuation,12,126
accentuations,13,145
accept,6,48
acceptabilities,15,134
acceptability,13,126
acceptable,10,68
acceptableness,14,125
acceptablenesses,16,149
acceptably,10,88
acceptance,10,71
acceptances,11,90
acceptant,9,83
acceptation,11,107
acceptations,12,126
accepted,8,57
acceptedly,10,94
acceptee,8,58
acceptees,9,77
accepter,8,71
accepters,9,90
accepting,9,78
acceptingly,11,115
acceptingness,13,135
acceptingnesses,15,159
acceptive,9,84
acceptor,8,81
acceptors,9,100
accepts,7,67
access,6,50
accessaries,11,102
accessary,9,94
accessed,8,59
accesses,8,74
accessibilities,15,144
accessibility,13,136
accessible,10,78
accessibleness,14,135
accessiblenesses,16,159
accessibly,10,98
accessing,9,80
accession,9,88
accessional,11,101
accessioned,11,97
accessioning,12,118
accessions,10,107
accessorial,11,105
accessories,11,116
accessorise,11,116
accessorised,12,120
accessorises,12,135
accessorising,13,141
accessorize,11,123
accessorized,12,127
accessorizes,12,142
accessorizing,13,148
accessory,9,108
acciaccatura,12,84
acciaccaturas,13,103
accidence,9,47
accidences,10,66
accident,8,59
accidental,10,72
accidentally,12,109
accidentalness,14,129
accidentalnesses,16,153
accidentals,11,91
accidently,10,96
accidents,9,78
accidia,7,30
accidias,8,49
accidie,7,34
accidies,8,53
accipiter,9,84
accipiters,10,103
accipitrine,11,107
accipitrines,12,126
acclaim,7,42
acclaimed,9,51
acclaimer,9,65
acclaimers,10,84
acclaiming,10,72
acclaims,8,61
acclamation,11,92
acclamations,12,111
acclimate,9,67
acclimated,10,71
acclimates,10,86
acclimating,11,92
acclimation,11,100
acclimations,12,119
acclimatise,11,95
acclimatised,12,99
acclimatises,12,114
acclimatising,13,120
acclimatization,15,156
acclimatizations,16,175
acclimatize,11,102
acclimatized,12,106
acclimatizer,12,120
acclimatizers,13,139
acclimatizes,12,121
acclimatizing,13,127
acclivities,11,112
acclivity,9,104
accolade,8,44
accolades,9,63
accommodate,11,93
accommodated,12,97
accommodates,12,112
accommodating,13,118
accommodatingly,15,155
accommodation,13,126
accommodational,15,139
accommodationist,16,174
accommodationists,17,193
accommodations,14,145
accommodative,13,124
accommodativeness,17,181
accommodativenesses,19,205
accommodator,12,121
accommodators,13,140
accompanied,11,84
accompanies,11,99
accompaniment,13,127
accompaniments,14,146
accompanist,11,114
accompanists,12,133
accompany,9,91
accompanying,12,121
accomplice,10,80
accomplices,11,99
accomplish,10,99
accomplishable,14,119
accomplished,12,108
accomplisher,12,122
accomplishers,13,141
accomplishes,12,123
accomplishing,13,129
accomplishment,14,151
accomplishments,15,170
accord,6,44
accordance,10,67
accordances,11,86
accordant,9,79
accordantly,11,116
accorded,8,53
accorder,8,67
accorders,9,86
according,9,74
accordingly,11,111
accordion,9,82
accordionist,12,130
accordionists,13,149
accordions,10,101
accords,7,63
accost,6,61
accosted,8,70
accosting,9,91
accosts,7,80
accouchement,12,111
accouchements,13,130
accoucheur,10,98
accoucheurs,11,117
account,7,77
accountabilities,16,163
accountability,14,155
accountable,11,97
accountableness,15,154
accountablenesses,17,178
accountably,11,117
accountancies,13,128
accountancy,11,120
accountant,10,112
accountants,11,131
accountantship,14,164
accountantships,15,183
accounted,9,86
accounting,10,107
accountings,11,126
accounts,8,96
accouter,8,86
accoutered,10,95
accoutering,11,116
accouterment,12,138
accouterments,13,157
accouters,9,105
accoutre,8,86
accoutred,9,90
accoutrement,12,138
accoutrements,13,157
accoutres,9,105
accoutring,10,111
accredit,8,63
accreditable,12,83
accreditation,13,122
accreditations,14,141
accredited,10,72
accrediting,11,93
accredits,9,82
accrete,7,55
accreted,8,59
accretes,8,74
accreting,9,80
accretion,9,88
accretionary,12,132
accretions,10,107
accretive,9,86
accruable,9,66
accrual,7,59
accruals,8,78
accrue,6,51
accrued,7,55
accruement,10,103
accruements,11,122
accrues,7,70
accruing,8,76
acculturate,11,125
acculturated,12,129
acculturates,12,144
acculturating,13,150
acculturation,13,158
acculturational,15,171
acculturations,14,177
acculturative,13,156
accumulate,10,100
accumulated,11,104
accumulates,11,119
accumulating,12,125
accumulation,12,133
accumulations,13,152
accumulative,12,131
accumulatively,14,168
accumulativeness,16,188
accumulativenesses,18,212
accumulator,11,128
accumulators,12,147
accuracies,10,83
accuracy,8,75
accurate,8,72
accurately,10,109
accurateness,12,129
accuratenesses,14,153
accursed,8,74
accursedly,10,111
accursedness,12,131
accursednesses,14,155
accurst,7,85
accusal,7,60
accusals,8,79
accusant,8,82
accusants,9,101
accusation,10,106
accusations,11,125
accusative,10,104
accusatives,11,123
accusatory,10,126
accuse,6,52
accused,7,56
accuser,7,70
accusers,8,89
accuses,7,71
accusing,8,77
accusingly,10,114
accustom,8,95
accustomation,13,154
accustomations,14,173
accustomed,10,104
accustomedness,14,161
accustomednesses,16,185
accustoming,11,125
accustoms,9,114
ace,3,9
aced,4,13
acedia,6,23
acedias,7,42
aceldama,8,40
aceldamas,9,59
acellular,9,85
acentric,8,73
acephalous,10,101
acequia,7,57
acequias,8,76
acerate,7,53
acerated,8,57
acerb,5,29
acerbate,8,55
acerbated,9,59
acerbates,9,74
acerbating,10,80
acerber,7,52
acerbest,8,73
acerbic,7,41
acerbically,11,91
acerbities,10,91
acerbity,8,83
acerola,7,55
acerolas,8,74
acerose,7,66
acerous,7,82
acervate,8,75
acervuli,8,91
acervulus,9,122
aces,4,28
acescent,8,70
acescents,9,89
aceta,5,30
acetabula,9,66
acetabular,10,84
acetabulum,10,99
acetabulums,11,118
acetal,6,42
acetaldehyde,12,93
acetaldehydes,13,112
acetals,7,61
acetamid,8,56
acetamide,9,61
acetamides,10,80
acetamids,9,75
acetaminophen,13,124
acetaminophens,14,143
acetanilid,10,78
acetanilide,11,83
acetanilides,12,102
acetanilids,11,97
acetate,7,55
acetated,8,59
acetates,8,74
acetazolamide,13,115
acetazolamides,14,134
acetic,6,41
acetification,13,115
acetifications,14,134
acetified,9,62
acetifies,9,77
acetify,7,69
acetifying,10,99
acetin,6,52
acetins,7,71
acetone,7,63
acetones,8,82
acetonic,8,70
acetonitrile,12,131
acetonitriles,13,150
acetophenetidin,15,148
acetophenetidins,16,167
acetose,7,68
acetous,7,84
acetoxyl,8,105
acetoxyls,9,124
acetum,6,63
acetyl,6,66
acetylate,9,92
acetylated,10,96
acetylates,10,111
acetylating,11,117
acetylation,11,125
acetylations,12,144
acetylative,11,123
acetylcholine,13,132
acetylcholines,14,151
acetylcholinesterase,20,219
acetylcholinesterases,21,238
acetylene,9,90
acetylenes,10,109
acetylenic,10,97
acetylic,8,78
acetyls,7,85
acetylsalicylate,16,173
acetylsalicylates,17,192
achalasia,9,55
achalasias,10,74
ache,4,17
ached,5,21
achene,6,36
achenes,7,55
achenial,8,53
aches,5,36
achier,6,44
achiest,7,65
achievable,10,68
achieve,7,53
achieved,8,57
achievement,11,105
achievements,12,124
achiever,8,71
achievers,9,90
achieves,8,72
achieving,9,78
achillea,8,51
achilleas,9,70
achiness,8,78
achinesses,10,102
aching,6,42
achingly,8,79
achiote,7,61
achiotes,8,80
achlorhydria,12,122
achlorhydrias,13,141
achlorhydric,12,124
acholia,7,49
acholias,8,68
achondrite,10,97
achondrites,11,116
achondritic,11,104
achondroplasia,14,136
achondroplasias,15,155
achondroplastic,15,158
achoo,5,42
achromat,8,79
achromatic,10,91
achromatically,14,141
achromatism,11,120
achromatisms,12,139
achromatize,11,119
achromatized,12,123
achromatizes,12,138
achromatizing,13,144
achromats,9,98
achromic,8,70
achy,4,37
acicula,7,50
aciculae,8,55
acicular,8,68
aciculas,8,69
aciculum,8,83
aciculums,9,102
acid,4,17
acidemia,8,45
acidemias,9,64
acidhead,8,35
acidheads,9,54
acidic,6,29
acidification,13,103
acidifications,14,122
acidified,9,50
acidifier,9,64
acidifiers,10,83
acidifies,9,65
acidify,7,57
acidifying,10,87
acidimeter,10,87
acidimeters,11,106
acidimetric,11,94
acidimetries,12,115
acidimetry,10,107
acidities,9,79
acidity,7,71
acidly,6,54
acidness,8,74
acidnesses,10,98
acidophil,9,77
acidophile,10,82
acidophiles,11,101
acidophilic,11,89
acidophils,10,96
acidoses,8,75
acidosis,8,79
acidotic,8,64
acids,5,36
acidulate,9,76
acidulated,10,80
acidulates,10,95
acidulating,11,101
acidulation,11,109
acidulations,12,128
acidulent,9,89
acidulous,9,105
aciduria,8,66
acidurias,9,85
acidy,5,42
acierate,8,62
acierated,9,66
acierates,9,81
acierating,10,87
aciform,7,65
acinar,6,46
acing,5,34
acini,5,36
acinic,6,39
acinose,7,66
acinous,7,82
acinus,6,67
ackee,5,25
ackees,6,44
acknowledge,11,100
acknowledged,12,104
acknowledgedly,14,141
acknowledgement,15,152
acknowledgements,16,171
acknowledges,12,119
acknowledging,13,125
acknowledgment,14,147
acknowledgments,15,166
aclinic,7,51
acmatic,7,50
acme,4,22
acmes,5,41
acmic,5,29
acne,4,23
acned,5,27
acnes,5,42
acnode,6,42
acnodes,7,61
acock,5,33
acoelomate,10,90
acoelomates,11,109
acold,5,35
acolyte,7,81
acolytes,8,100
aconite,7,67
aconites,8,86
aconitic,8,74
aconitum,8,96
aconitums,9,115
acorn,5,51
acorns,6,70
acoustic,8,91
acoustical,10,104
acoustically,12,141
acoustician,11,115
acousticians,12,134
acoustics,9,110
acquaint,8,86
acquaintance,12,109
acquaintances,13,128
acquaintanceship,16,161
acquaintanceships,17,180
acquainted,10,95
acquainting,11,116
acquaints,9,105
acquest,7,86
acquests,8,105
acquiesce,9,83
acquiesced,10,87
acquiescence,12,105
acquiescences,13,124
acquiescent,11,117
acquiescently,13,154
acquiesces,10,102
acquiescing,11,108
acquirable,10,89
acquire,7,74
acquired,8,78
acquirement,11,126
acquirements,12,145
acquirer,8,92
acquirers,9,111
acquires,8,93
acquiring,9,99
acquisition,11,137
acquisitional,13,150
acquisitions,12,156
acquisitive,11,135
acquisitively,13,172
acquisitiveness,15,192
acquisitivenesses,17,216
acquisitor,10,132
acquisitors,11,151
acquit,6,71
acquits,7,90
acquittal,9,104
acquittals,10,123
acquittance,11,114
acquittances,12,133
acquitted,9,100
acquitter,9,114
acquitters,10,133
acquitting,10,121
acrasia,7,52
acrasias,8,71
acrasin,7,65
acrasins,8,84
acre,4,27
acreage,7,40
acreages,8,59
acred,5,31
acres,5,46
acrid,5,35
acrider,7,58
acridest,8,79
acridine,8,63
acridines,9,82
acridities,10,97
acridity,8,89
acridly,7,72
acridness,9,92
acridnesses,11,116
acriflavine,11,100
acriflavines,12,119
acrimonies,10,106
acrimonious,11,137
acrimoniously,13,174
acrimoniousness,15,194
acrimoniousnesses,17,218
acrimony,8,98
acritarch,9,81
acritarchs,10,100
acrobat,7,60
acrobatic,9,72
acrobatically,13,122
acrobatics,10,91
acrobats,8,79
acrocentric,11,109
acrocentrics,12,128
acrodont,8,90
acrodonts,9,109
acrogen,7,63
acrogens,8,82
acrolect,8,77
acrolects,9,96
acrolein,8,77
acroleins,9,96
acrolith,8,86
acroliths,9,105
acromegalic,11,87
acromegalics,12,106
acromegalies,12,108
acromegaly,10,100
acromia,7,60
acromial,8,72
acromion,8,88
acromions,9,107
acronic,7,63
acronym,7,89
acronymic,9,101
acronymically,13,151
acronyms,8,108
acropetal,9,91
acropetally,11,128
acrophobe,9,83
acrophobes,10,102
acrophobia,10,88
acrophobias,11,107
acropolis,9,108
acropolises,11,132
acrosomal,9,97
acrosome,8,89
acrosomes,9,108
across,6,75
acrostic,8,88
acrostical,10,101
acrostically,12,138
acrostics,9,107
acrotic,7,69
acrotism,8,98
acrotisms,9,117
acrylamide,10,91
acrylamides,11,110
acrylate,8,85
acrylates,9,104
acrylic,7,71
acrylics,8,90
acrylonitrile,13,161
acrylonitriles,14,180
act,3,24
acta,4,25
actabilities,12,110
actability,10,102
actable,7,44
acted,5,33
actin,5,47
actinal,7,60
acting,6,54
actings,7,73
actinia,7,57
actiniae,8,62
actinian,8,71
actinians,9,90
actinias,8,76
actinic,7,59
actinically,11,109
actinide,8,65
actinides,9,84
actinism,8,88
actinisms,9,107
actinium,8,90
actiniums,9,109
actinoid,8,75
actinoids,9,94
actinolite,10,108
actinolites,11,127
actinometer,11,123
actinometers,12,142
actinometric,12,130
actinometries,13,151
actinometry,11,143
actinomorphic,13,144
actinomorphies,14,165
actinomorphy,12,157
actinomyces,11,127
actinomycete,12,133
actinomycetes,13,152
actinomycetous,14,183
actinomycin,11,126
actinomycins,12,145
actinomycoses,13,161
actinomycosis,13,165
actinomycotic,13,150
actinon,7,76
actinons,8,95
actins,6,66
action,6,62
actionable,10,82
actionably,10,102
actionless,10,117
actions,7,81
activate,8,81
activated,9,85
activates,9,100
activating,10,106
activation,10,114
activations,11,133
activator,9,109
activators,10,128
active,6,60
actively,8,97
activeness,10,117
activenesses,12,141
actives,7,79
activism,8,96
activisms,9,115
activist,8,103
activistic,10,115
activists,9,122
activities,10,117
activity,8,109
activize,8,95
activized,9,99
activizes,9,114
activizing,10,120
actomyosin,10,134
actomyosins,11,153
actor,5,57
actorish,8,93
actors,6,76
actress,7,85
actresses,9,109
actressy,8,110
acts,4,43
actual,6,58
actualities,11,120
actuality,9,112
actualization,13,152
actualizations,14,171
actualize,9,98
actualized,10,102
actualizes,10,117
actualizing,11,123
actually,8,95
actuarial,9,86
actuarially,11,123
actuaries,9,97
actuary,7,89
actuate,7,71
actuated,8,75
actuates,8,90
actuating,9,96
actuation,9,104
actuations,10,123
actuator,8,99
actuators,9,118
acuate,6,51
acuities,8,87
acuity,6,79
aculeate,8,68
aculei,6,51
aculeus,7,82
acumen,6,57
acumens,7,76
acuminate,9,87
acupressure,11,146
acupressures,12,165
acupuncture,11,143
acupunctures,12,162
acupuncturist,13,186
acupuncturists,14,205
acutance,8,68
acutances,9,87
acute,5,50
acutely,7,87
acuteness,9,107
acutenesses,11,131
acuter,6,68
acutes,6,69
acutest,7,89
acyclic,7,56
acyclovir,9,108
acyclovirs,10,127
acyl,4,41
acylate,7,67
acylated,8,71
acylates,8,86
acylating,9,92
acylation,9,100
acylations,10,119
acyloin,7,79
acyloins,8,98
acyls,5,60
ad,2,5
adage,5,18
adages,6,37
adagial,7,35
adagio,6,37
adagios,7,56
adamance,8,42
adamances,9,61
adamancies,10,70
adamancy,8,62
adamant,7,54
adamantine,10,82
adamantly,9,91
adamants,8,73
adamsite,8,72
adamsites,9,91
adapt,5,42
adaptabilities,14,128
adaptability,12,120
adaptable,9,62
adaptation,10,101
adaptational,12,114
adaptationally,14,151
adaptations,11,120
adapted,7,51
adaptedness,11,108
adaptednesses,13,132
adapter,7,65
adapters,8,84
adapting,8,72
adaption,8,80
adaptions,9,99
adaptive,8,78
adaptively,10,115
adaptiveness,12,135
adaptivenesses,14,159
adaptivities,12,135
adaptivity,10,127
adaptor,7,75
adaptors,8,94
adapts,6,61
adaxial,7,52
add,3,9
addable,7,29
addax,5,34
addaxes,7,58
added,5,18
addedly,7,55
addend,6,32
addenda,7,33
addends,7,51
addendum,8,66
adder,5,32
adders,6,51
addible,7,37
addict,6,41
addicted,8,50
addicting,9,71
addiction,9,79
addictions,10,98
addictive,9,77
addicts,7,60
adding,6,39
addition,8,76
additional,10,89
additionally,12,126
additions,9,95
additive,8,74
additively,10,111
additives,9,93
additivities,12,131
additivity,10,123
